name,img_url,age,height,weight,nationality
Jordan Howard,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Howard_Jordan_uca.jpg,28,5-11,180,United States/Puerto Rico
Jean Montero,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Montero_Jean_21.jpg,20,6-2,172,Dominican Republic
Marcelinho Huertas,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Huertas_Marcelo_lal1516.jpg,40,6-3,200,Brazil
Jerrick Harding,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Harding_Jerrick_web.jpg,25,6-1,180,United States
Andrew Andrews,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Andrews_Andrew_cha1617.jpg,30,6-2,200,United States
Mark Smith,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Smith_Mark_il17.jpg,24,6-5,220,United States
Facundo Campazzo,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Campazzo_Facundo_den21.jpg,32,5-11,165,Argentina
Lluis Costa,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,30,6-1,205,Spain
Chris Jones,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Jones_Chris_ncaa_unt.jpg,30,6-2,200,United States/Armenia
Nicolas Laprovittola,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Laprovittola_Nicolas_sas1617.jpg,34,6-4,180,Argentina
Kendrick Perry,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Perry_Kendrick_ncaa_young.jpg,31,6-0,180,United States/Montenegro
Jaime Fernandez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Fernandez_Jaime_ACB.jpg,30,6-2,178,Spain
Keye Van,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Vandervuurstdevries_Keye_22.jpg,22,6-4,188,Netherlands
Ludde Hakanson,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Hakanson_Ludvig.jpg,27,6-3,184,Sweden
Brandon Taylor,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Taylor_Brandon_ncaa.jpg,30,5-10,170,United States
Tyson Carter,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Carter_Tyson_msst.jpg,26,6-4,175,United States
Jared Harper,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Harper_Jared_nop21.jpg,26,6-0,175,United States
Juani Marcos,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,23,6-3,158,Argentina
Markel Starks,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Starks_Markel_ncaa_gt.jpg,32,6-1,175,United States
Melwin Pantzar,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Melwin_Pantzar_22w.jpg,23,6-3,190,Sweden
Dani Perez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,33,6-0,188,Spain
Sergi Garcia,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,26,6-3,181,Spain
Rokas Jokubaitis,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Jokubaitis_Rokas_20.jpg,23,6-4,182,Lithuania
Tobias Borg,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Borg_Tobias_te21.jpg,30,6-0,162,Sweden
Corey Davis,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Davis_Corey_uh17.jpg,26,6-1,190,United States
Quim Colom,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Colom_Quim_ACB.jpg,35,6-2,194,Andorra/Spain
Brandon Brown,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,34,6-1,176,United States
Sergio Llull,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Llull_Sergio_euro.jpg,36,6-3,190,Spain
Alex Renfroe,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Renfroe_Alex_ACB.jpg,37,6-2,160,United States/Bosnia and Herzegovina
Bruno Fitipaldo,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,32,6-0,183,Uruguay
Daniel Garcia,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,26,6-1,176,Spain
Guillem Vives,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Vives_Guillem.jpg,30,6-3,172,Spain
Fernando Zurbriggen,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,26,6-1,190,Argentina
Ferran Bassas,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,31,6-0,188,Spain
Alexander Kovlyar,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kovliar_Alexander_23.jpg,21,6-3,167,Ukraine
Andrew Albicy,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Albicy_Andrew_euro.jpg,33,5-10,165,France
Iftah Ziv,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,28,6-1,190,Israel
Alberto Diaz,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Diaz_Alberto_ACB.jpg,29,6-2,187,Spain
Christian Diaz,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,31,6-0,175,Spain
Sergio Rodriguez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Rodriguez_Sergio_phi1617.jpg,37,6-3,176,Spain
Chris Chiozza,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Chiozza_Chris_bkn22.jpg,28,5-11,179,United States
Erik Quintela,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,32,6-1,163,Spain
German Martinez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,25,6-3,185,Spain
Lucas Hernandez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,19,N/A,N/A,Spain
Nico Mannion,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Mannion_Nico_gsw20.jpg,22,6-3,190,Italy/United States
Pol Figueras,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,25,6-2,187,Spain
Dylan Ennis,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Ennis_Dylan_ncaa_12.jpg,32,6-2,195,United States/Jamaica
Joe Thomasson,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Thomasson_Joe_wrst.jpg,30,6-4,165,United States
Brancou Badio,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,24,6-3,187,Senegal
Andres Feliz,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Feliz_Andres_il18.jpg,26,6-2,185,Dominican Republic
Trae Bell-Haynes,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Bellhaynes_Trae_ver.jpg,28,6-2,180,Canada
A.J. Slaughter,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Slaughter_AJ_LNB.jpg,36,6-4,185,United States/Poland
