#,Player,OVR,3PT,DNK
1,"Joel Embiid NBA All-Star 34 Badges Joel Embiid C | 7'0"" | PHI",98,80,80
2,"Nikola Jokic NBA All-Star 43 Badges Nikola Jokic C | 6'11"" | DEN",98,80,75
3,"Anthony Davis NBA All-Star 31 Badges Anthony Davis C / PF | 6'10"" | LAL",94,70,88
4,"Victor Wembanyama 11 Badges Victor Wembanyama C / PF | 7'4"" | SAS",88,74,75
5,"Bam Adebayo NBA All-Star 32 Badges Bam Adebayo C / PF | 6'9"" | MIA",88,65,80
6,"Domantas Sabonis 20 Badges Domantas Sabonis C | 7'1"" | SAC",88,78,75
7,"Chet Holmgren 7 Badges Chet Holmgren C / PF | 7'1"" | OKC",86,83,75
8,"Alperen Sengun 20 Badges Alperen Sengun C | 6'11"" | HOU",86,72,80
9,"Jarrett Allen 16 Badges Jarrett Allen C | 6'9"" | CLE",86,63,80
10,"Rudy Gobert 14 Badges Rudy Gobert C | 7'1"" | MIN",85,25,75
11,"Nicolas Claxton 11 Badges Nicolas Claxton C / PF | 6'11"" | BKN",85,64,75
12,"Myles Turner 17 Badges Myles Turner C | 6'11"" | IND",84,78,65
13,"Jonas Valanciunas 12 Badges Jonas Valanciunas C | 6'11"" | NOP",83,81,65
14,"Jalen Duren 10 Badges Jalen Duren C | 6'11"" | DET",83,35,80
15,"Nikola Vucevic 16 Badges Nikola Vucevic C | 6'10"" | CHI",82,73,65
16,"Mark Williams 4 Badges Mark Williams C | 7'0"" | CHA",82,36,75
17,"Ivica Zubac 11 Badges Ivica Zubac C | 7'0"" | LAC",82,26,75
18,"Jusuf Nurkic 10 Badges Jusuf Nurkic C | 7'0"" | PHX",82,67,65
19,"Mitchell Robinson 10 Badges Mitchell Robinson C | 7'0"" | NYK",82,32,80
20,"Bobby Portis 11 Badges Bobby Portis C / PF | 6'11"" | MIL",82,82,70
21,"Brook Lopez 13 Badges Brook Lopez C | 7'1"" | MIL",82,77,65
22,"Walker Kessler 10 Badges Walker Kessler C | 7'0"" | UTA",81,66,75
23,"Robert Williams III 13 Badges Robert Williams III C | 6'9"" | POR",81,25,75
24,"Clint Capela 13 Badges Clint Capela C | 6'10"" | ATL",81,25,80
25,"Deandre Ayton 15 Badges Deandre Ayton C | 7'0"" | POR",81,69,75
26,"Jakob Poeltl 12 Badges Jakob Poeltl C | 7'1"" | TOR",81,45,60
27,"Dereck Lively II 3 Badges Dereck Lively II C / PF | 7'1"" | DAL",80,52,83
28,"Steven Adams 14 Badges Steven Adams C | 6'11"" | HOU",80,26,70
29,"Onyeka Okongwu 7 Badges Onyeka Okongwu C / PF | 6'9"" | ATL",80,68,80
30,"Naz Reid 5 Badges Naz Reid C / PF | 6'9"" | MIN",80,83,80
31,"Wendell Carter Jr. 8 Badges Wendell Carter Jr. C / PF | 6'10"" | ORL",79,83,75
32,"Isaiah Hartenstein 2 Badges Isaiah Hartenstein C | 7'0"" | NYK",79,55,65
33,"Daniel Gafford 5 Badges Daniel Gafford C | 6'10"" | DAL",79,29,75
34,"Larry Nance Jr. 6 Badges Larry Nance Jr. C / PF | 6'8"" | NOP",79,79,85
35,"Andre Drummond 10 Badges Andre Drummond C | 6'11"" | CHI",78,47,85
36,"Mason Plumlee 6 Badges Mason Plumlee C | 7'0"" | LAC",78,58,80
37,"Nick Richards 3 Badges Nick Richards C | 7'0"" | CHA",78,25,80
38,"Dario Saric 0 Badges Dario Saric C / PF | 6'10"" | GSW",78,82,70
39,"Moritz Wagner 1 Badges Moritz Wagner C / PF | 6'11"" | ORL",78,76,65
40,"Kevon Looney 4 Badges Kevon Looney C | 6'9"" | GSW",78,69,70
41,"Zach Collins 4 Badges Zach Collins C / PF | 6'11"" | SAS",78,74,65
42,"Isaiah Jackson 2 Badges Isaiah Jackson C / PF | 6'9"" | IND",77,59,80
43,"Dwight Powell 4 Badges Dwight Powell C / PF | 6'10"" | DAL",77,78,65
44,"Brandon Clarke 7 Badges Brandon Clarke C / PF | 6'8"" | MEM",77,57,84
45,"Goga Bitadze 4 Badges Goga Bitadze C | 6'11"" | ORL",77,71,65
46,"Christian Wood 15 Badges Christian Wood C / PF | 6'9"" | LAL",76,73,85
47,"Ben Simmons 15 Badges Ben Simmons C / PG | 6'10"" | BKN",76,50,86
48,"James Wiseman 3 Badges James Wiseman C | 7'0"" | DET",76,67,75
49,"Precious Achiuwa 5 Badges Precious Achiuwa C / PF | 6'8"" | NYK",76,70,80
50,"Day’Ron Sharpe 2 Badges Day’Ron Sharpe C | 6'9"" | BKN",76,29,70
51,"Bol Bol 1 Badges Bol Bol C / PF | 7'2"" | PHX",76,70,70
52,"Luke Kornet 0 Badges Luke Kornet C | 7'2"" | BOS",76,70,60
53,"Chimezie Metu 2 Badges Chimezie Metu C / PF | 6'9"" | Free Agent",76,70,75
54,"DeAndre Jordan 5 Badges DeAndre Jordan C | 6'11"" | DEN",76,25,75
55,"Trendon Watford 1 Badges Trendon Watford C / PF | 6'8"" | BKN",76,79,80
56,"Montrezl Harrell 11 Badges Montrezl Harrell C | 6'7"" | Free Agent",75,50,80
57,"Blake Griffin 8 Badges Blake Griffin C / PF | 6'9"" | Free Agent",75,78,75
58,"JaVale McGee 8 Badges JaVale McGee C | 7'0"" | SAC",75,55,85
59,"Daniel Theis 2 Badges Daniel Theis C | 6'8"" | LAC",75,73,78
60,"Willy Hernangomez 3 Badges Willy Hernangomez C | 6'11"" | Free Agent",75,60,65
61,"Mo Bamba 3 Badges Mo Bamba C | 7'0"" | PHI",75,79,70
62,"Charles Bassey 3 Badges Charles Bassey C | 6'9"" | SAS",75,62,75
63,"Omer Yurtseven 2 Badges Omer Yurtseven C | 6'11"" | UTA",75,70,65
64,"JaMychal Green 0 Badges JaMychal Green C / PF | 6'9"" | Free Agent",75,81,70
65,"Drew Eubanks 0 Badges Drew Eubanks C | 6'10"" | PHX",75,54,70
66,"Jaylin Williams 0 Badges Jaylin Williams C | 6'9"" | OKC",74,77,70
67,"Christian Koloko 0 Badges Christian Koloko C | 7'0"" | Free Agent",74,29,75
68,"Aleksej Pokusevski 0 Badges Aleksej Pokusevski C / PF | 7'0"" | OKC",74,73,70
69,"Tristan Thompson 8 Badges Tristan Thompson C | 6'9"" | CLE",74,62,75
70,"Xavier Tillman 0 Badges Xavier Tillman C / PF | 6'7"" | BOS",74,58,65
71,"Derrick Favors 7 Badges Derrick Favors C | 6'9"" | Free Agent",74,66,70
72,"Jaxson Hayes 6 Badges Jaxson Hayes C / PF | 7'0"" | LAL",74,60,80
73,"Nerlens Noel 9 Badges Nerlens Noel C | 6'10"" | Free Agent",74,30,75
74,"Thomas Bryant 6 Badges Thomas Bryant C | 6'10"" | MIA",74,74,65
75,"Wenyen Gabriel 0 Badges Wenyen Gabriel C / PF | 6'9"" | Free Agent",74,70,75
76,"Frank Kaminsky 0 Badges Frank Kaminsky C / PF | 7'0"" | Free Agent",74,81,65
77,"Richaun Holmes 9 Badges Richaun Holmes C | 6'8"" | WAS",73,62,75
78,"Cody Zeller 1 Badges Cody Zeller C / PF | 6'11"" | NOP",73,38,75
79,"Usman Garuba 0 Badges Usman Garuba C | 6'8"" | GSW",73,82,70
80,"Serge Ibaka 2 Badges Serge Ibaka C / PF | 6'10"" | Free Agent",73,81,75
81,"Robin Lopez 6 Badges Robin Lopez C | 7'0"" | Free Agent",73,76,60
82,"Taj Gibson 4 Badges Taj Gibson C | 6'9"" | NYK",73,73,65
83,"Sandro Mamukelashvili 0 Badges Sandro Mamukelashvili C / PF | 6'10"" | SAS",73,72,65
84,"Gorgui Dieng 1 Badges Gorgui Dieng C | 6'10"" | Free Agent",73,70,64
85,"Jock Landale 5 Badges Jock Landale C | 6'11"" | HOU",73,63,60
86,"Bruno Fernando 2 Badges Bruno Fernando C | 6'10"" | ATL",73,42,78
87,"Orlando Robinson 0 Badges Orlando Robinson C | 6'10"" | MIA",73,74,60
88,"Bismack Biyombo 4 Badges Bismack Biyombo C | 6'8"" | Free Agent",73,25,68
89,"Zeke Nnaji 0 Badges Zeke Nnaji C / PF | 6'9"" | DEN",72,73,70
90,"Udoka Azubuike 2 Badges Udoka Azubuike C | 6'11"" | PHX",72,25,75
91,"Mike Muscala 0 Badges Mike Muscala C / PF | 6'11"" | DET",72,73,60
92,"Jericho Sims 8 Badges Jericho Sims C | 6'10"" | NYK",72,26,89
93,"Dewayne Dedmon 3 Badges Dewayne Dedmon C | 6'10"" | Free Agent",72,73,60
94,"Vernon Carey Jr. 2 Badges Vernon Carey Jr. C | 6'10"" | Free Agent",72,63,70
95,"Meyers Leonard 2 Badges Meyers Leonard C / PF | 7'0"" | Free Agent",72,81,70
96,"Boban Marjanovic 2 Badges Boban Marjanovic C | 7'4"" | HOU",72,63,60
97,"Kenneth Lofton Jr. 3 Badges Kenneth Lofton Jr. C / PF | 6'6"" | PHI",72,70,75
98,"Willie Cauley-Stein 3 Badges Willie Cauley-Stein C | 7'0"" | Free Agent",72,49,70
99,"Tony Bradley 7 Badges Tony Bradley C | 6'10"" | Free Agent",72,26,60
100,"Chris Silva 0 Badges Chris Silva C / PF | 6'8"" | Free Agent",72,72,65
