#,Player,OVR,3PT,DNK
1,"Giannis Antetokounmpo NBA All-Star 52 Badges Giannis Antetokounmpo PF / SF | 7'0"" | MIL",97,64,91
2,"Kevin Durant NBA All-Star 40 Badges Kevin Durant PF / SF | 6'10"" | PHX",96,93,85
3,"Zion Williamson 32 Badges Zion Williamson PF / C | 6'6"" | NOP",89,70,97
4,"Paolo Banchero NBA All-Star 23 Badges Paolo Banchero PF / SF | 6'10"" | ORL",87,82,85
5,"Pascal Siakam 28 Badges Pascal Siakam PF / C | 6'8"" | IND",87,74,80
6,"Karl-Anthony Towns NBA All-Star 23 Badges Karl-Anthony Towns PF / C | 7'0"" | MIN",87,87,75
7,"Kristaps Porzingis 13 Badges Kristaps Porzingis PF / C | 7'3"" | BOS",87,78,75
8,"Evan Mobley 19 Badges Evan Mobley PF / C | 6'11"" | CLE",86,66,80
9,"Jaren Jackson Jr. 18 Badges Jaren Jackson Jr. PF / C | 6'10"" | MEM",86,79,80
10,"Julius Randle NBA All-Star 24 Badges Julius Randle PF / C | 6'8"" | NYK",86,73,80
11,"DeMar DeRozan 34 Badges DeMar DeRozan PF / SF | 6'6"" | CHI",85,78,80
12,"Keegan Murray 10 Badges Keegan Murray PF / SF | 6'8"" | SAC",83,83,80
13,"Draymond Green 25 Badges Draymond Green PF / C | 6'6"" | GSW",83,76,65
14,"Aaron Gordon 13 Badges Aaron Gordon PF / SF | 6'8"" | DEN",83,70,94
15,"Jerami Grant 16 Badges Jerami Grant PF / SF | 6'8"" | POR",82,85,85
16,"Jaime Jaquez Jr. 0 Badges Jaime Jaquez Jr. PF / SF | 6'7"" | MIA",81,80,70
17,"Jabari Smith Jr. 0 Badges Jabari Smith Jr. PF / C | 6'11"" | HOU",80,83,85
18,"Tari Eason 4 Badges Tari Eason PF / SF | 6'8"" | HOU",80,81,80
19,"Miles Bridges 12 Badges Miles Bridges PF / SF | 6'7"" | CHA",80,76,90
20,"Al Horford 20 Badges Al Horford PF / C | 6'9"" | BOS",80,81,65
21,"Jonathan Kuminga 4 Badges Jonathan Kuminga PF / SF | 6'7"" | GSW",80,73,85
22,"John Collins 11 Badges John Collins PF / C | 6'9"" | UTA",80,81,90
23,"Jalen Johnson 1 Badges Jalen Johnson PF / SF | 6'8"" | ATL",80,79,83
24,"Trey Murphy III 7 Badges Trey Murphy III PF / SF | 6'8"" | NOP",80,85,88
25,"Deni Avdija 1 Badges Deni Avdija PF / SF | 6'9"" | WAS",79,79,75
26,"Rui Hachimura 8 Badges Rui Hachimura PF / SF | 6'8"" | LAL",79,80,80
