#,Player,OVR,3PT,DNK
1,"LeBron James NBA All-Star 46 Badges LeBron James SF / PF | 6'9"" | LAL",96,83,89
2,"Jayson Tatum NBA All-Star 54 Badges Jayson Tatum SF / PF | 6'8"" | BOS",94,87,89
3,"Jimmy Butler 48 Badges Jimmy Butler SF / PF | 6'7"" | MIA",93,81,80
4,"Kawhi Leonard NBA All-Star 42 Badges Kawhi Leonard SF / PF | 6'7"" | LAC",92,87,80
5,"Lauri Markkanen 16 Badges Lauri Markkanen SF / PF | 7'0"" | UTA",87,84,75
6,"Scottie Barnes NBA All-Star 14 Badges Scottie Barnes SF / PF | 6'8"" | TOR",86,82,80
7,"Brandon Ingram 19 Badges Brandon Ingram SF / PF | 6'8"" | NOP",85,80,80
8,"Khris Middleton 22 Badges Khris Middleton SF / PF | 6'7"" | MIL",85,83,65
9,"Franz Wagner 8 Badges Franz Wagner SF / SG | 6'10"" | ORL",84,75,80
10,"Zach LaVine 28 Badges Zach LaVine SF / SG | 6'5"" | CHI",83,81,95
11,"Jalen Williams 16 Badges Jalen Williams SF / SG | 6'5"" | OKC",83,87,80
12,"Tobias Harris 15 Badges Tobias Harris SF / PF | 6'7"" | PHI",83,81,75
13,"Michael Porter Jr. 12 Badges Michael Porter Jr. SF / PF | 6'10"" | DEN",82,84,80
14,"R.J. Barrett 19 Badges R.J. Barrett SF / SG | 6'6"" | TOR",82,81,80
15,"Kyle Kuzma 13 Badges Kyle Kuzma SF / PF | 6'9"" | WAS",81,78,75
16,"Cameron Johnson 8 Badges Cameron Johnson SF / PF | 6'8"" | BKN",81,85,60
17,"Bojan Bogdanovic 12 Badges Bojan Bogdanovic SF / PF | 6'7"" | NYK",81,83,70
18,"Brandon Miller 0 Badges Brandon Miller SF / PF | 6'9"" | CHA",80,82,87
19,"Keldon Johnson 7 Badges Keldon Johnson SF / PF | 6'5"" | SAS",80,79,75
20,"Dillon Brooks 13 Badges Dillon Brooks SF / SG | 6'6"" | HOU",80,84,75
21,"De’Andre Hunter 9 Badges De’Andre Hunter SF / PF | 6'8"" | ATL",80,84,70
22,"Gordon Hayward 3 Badges Gordon Hayward SF / PF | 6'7"" | OKC",79,80,75
23,"Buddy Hield 17 Badges Buddy Hield SF / SG | 6'4"" | PHI",79,88,65
24,"Norman Powell 13 Badges Norman Powell SF / SG | 6'4"" | LAC",79,87,80
25,"Luguentz Dort 15 Badges Luguentz Dort SF / PF | 6'4"" | OKC",79,85,85
26,"Aaron Nesmith 2 Badges Aaron Nesmith SF / PF | 6'5"" | IND",79,87,55
27,"Tim Hardaway Jr. 12 Badges Tim Hardaway Jr. SF / SG | 6'5"" | DAL",79,81,78
28,"Jaden McDaniels 17 Badges Jaden McDaniels SF / PF | 6'9"" | MIN",79,80,75
29,"Duncan Robinson 10 Badges Duncan Robinson SF / SG | 6'7"" | MIA",78,87,70
30,"Lonnie Walker IV 0 Badges Lonnie Walker IV SF / SG | 6'4"" | BKN",78,86,75
31,"Andrew Wiggins 14 Badges Andrew Wiggins SF / PF | 6'7"" | GSW",77,74,85
32,"Harrison Barnes 0 Badges Harrison Barnes SF / PF | 6'8"" | SAC",77,84,80
33,"Josh Hart 8 Badges Josh Hart SF / SG | 6'4"" | NYK",77,77,70
34,"Corey Kispert 13 Badges Corey Kispert SF / SG | 6'6"" | WAS",77,83,60
35,"Bilal Coulibaly 0 Badges Bilal Coulibaly SF / PF | 6'6"" | WAS",76,82,85
36,"Christian Braun 6 Badges Christian Braun SF / SG | 6'6"" | DEN",76,82,80
37,"MarJon Beauchamp 0 Badges MarJon Beauchamp SF / SG | 6'7"" | MIL",76,82,70
38,"Max Strus 10 Badges Max Strus SF / SG | 6'5"" | CLE",76,81,65
39,"T.J. Warren 10 Badges T.J. Warren SF / PF | 6'8"" | Free Agent",76,77,80
40,"Jonathan Isaac 6 Badges Jonathan Isaac SF / PF | 6'10"" | ORL",76,68,82
41,"Matisse Thybulle 14 Badges Matisse Thybulle SF / SG | 6'5"" | POR",76,80,70
42,"Isaac Okoro 7 Badges Isaac Okoro SF / SG | 6'5"" | CLE",76,79,75
43,"Gary Payton II 11 Badges Gary Payton II SF / SG | 6'2"" | GSW",76,77,75
44,"Hamidou Diallo 2 Badges Hamidou Diallo SF / SG | 6'5"" | Free Agent",76,60,93
45,"Josh Green 4 Badges Josh Green SF / SG | 6'7"" | DAL",76,79,80
46,"Naji Marshall 1 Badges Naji Marshall SF / PF | 6'7"" | NOP",76,81,70
47,"Cam Whitmore 1 Badges Cam Whitmore SF / PF | 6'7"" | HOU",75,75,85
48,"Terence Davis 0 Badges Terence Davis SF / SG | 6'4"" | Free Agent",75,80,75
49,"Taurean Prince 1 Badges Taurean Prince SF / PF | 6'6"" | LAL",75,83,70
50,"Simone Fontecchio 0 Badges Simone Fontecchio SF / PF | 6'7"" | DET",75,83,65
51,"Cody Martin 0 Badges Cody Martin SF / SG | 6'6"" | CHA",75,82,75
52,"Sam Hauser 3 Badges Sam Hauser SF / PF | 6'7"" | BOS",75,85,60
53,"Troy Brown Jr. 0 Badges Troy Brown Jr. SF / SG | 6'7"" | DET",75,82,70
54,"Julian Strawther 0 Badges Julian Strawther SF / SG | 6'7"" | DEN",74,76,60
55,"David Roddy 0 Badges David Roddy SF / PF | 6'4"" | PHX",74,71,60
56,"AJ Griffin 0 Badges AJ Griffin SF / SG | 6'6"" | ATL",74,79,85
57,"Jae’Sean Tate 5 Badges Jae’Sean Tate SF / PF | 6'5"" | HOU",74,73,75
58,"Joe Harris 9 Badges Joe Harris SF / SG | 6'6"" | Free Agent",74,82,45
59,"Kenyon Martin Jr. 5 Badges Kenyon Martin Jr. SF / PF | 6'7"" | PHI",74,70,92
60,"Cedi Osman 3 Badges Cedi Osman SF / PF | 6'7"" | SAS",74,80,61
61,"Justise Winslow 0 Badges Justise Winslow SF / PF | 6'6"" | Free Agent",74,74,70
62,"Josh Okogie 1 Badges Josh Okogie SF / PF | 6'4"" | PHX",74,66,75
63,"Otto Porter Jr. 2 Badges Otto Porter Jr. SF / PF | 6'8"" | UTA",73,81,70
64,"Dalen Terry 0 Badges Dalen Terry SF / SG | 6'7"" | CHI",73,74,80
65,"Pat Connaughton 3 Badges Pat Connaughton SF / SG | 6'5"" | MIL",73,78,86
66,"Danny Green 9 Badges Danny Green SF / SG | 6'6"" | Free Agent",73,83,45
67,"Cam Reddish 1 Badges Cam Reddish SF / SG | 6'7"" | LAL",73,75,80
68,"Doug McDermott 5 Badges Doug McDermott SF / PF | 6'6"" | IND",73,87,65
69,"Jalen McDaniels 0 Badges Jalen McDaniels SF / PF | 6'9"" | TOR",73,70,65
70,"Amir Coffey 0 Badges Amir Coffey SF / PF | 6'7"" | LAC",73,75,40
71,"Justin Holiday 2 Badges Justin Holiday SF / SG | 6'6"" | DEN",73,81,73
72,"Isaiah Livers 0 Badges Isaiah Livers SF / PF | 6'6"" | WAS",73,72,65
73,"Julian Champagnie 0 Badges Julian Champagnie SF / SF | 6'7"" | SAS",73,82,60
74,"Patrick Baldwin Jr. 0 Badges Patrick Baldwin Jr. SF / PF | 6'9"" | WAS",72,82,70
75,"KZ Okpala 0 Badges KZ Okpala SF / PF | 6'8"" | Free Agent",72,75,80
76,"Sviatoslav Mykhailiuk 0 Badges Sviatoslav Mykhailiuk SF / SG | 6'7"" | BOS",72,71,55
77,"Justin Jackson 0 Badges Justin Jackson SF / PF | 6'7"" | Free Agent",72,74,60
78,"Sterling Brown 0 Badges Sterling Brown SF / PF | 6'5"" | Free Agent",72,73,75
79,"Danuel House Jr. 0 Badges Danuel House Jr. SF / PF | 6'6"" | Free Agent",72,79,75
80,"Matt Ryan 0 Badges Matt Ryan SF / SG | 6'6"" | NOP",72,86,55
81,"Theo Pinson 0 Badges Theo Pinson SF / PF | 6'7"" | Free Agent",72,81,75
82,"Brice Sensabaugh 1 Badges Brice Sensabaugh SF / SG | 6'6"" | UTA",71,81,60
83,"Wendell Moore Jr. 0 Badges Wendell Moore Jr. SF / SG | 6'5"" | MIN",71,76,80
84,"Caleb Houstan 0 Badges Caleb Houstan SF / SG | 6'8"" | ORL",71,81,25
85,"Juan Hernangomez 1 Badges Juan Hernangomez SF / PF | 6'9"" | Free Agent",71,65,70
86,"John Konchar 4 Badges John Konchar SF / SG | 6'5"" | MEM",71,76,55
87,"Jamal Cain 0 Badges Jamal Cain SF / PF | 6'6"" | MIA",71,70,70
88,"Josh Minott 0 Badges Josh Minott SF / PF | 6'8"" | MIN",70,64,80
89,"David Duke Jr. 0 Badges David Duke Jr. SF / SG | 6'4"" | SAS",70,69,60
90,"P.J. Dozier 0 Badges P.J. Dozier SF / SG | 6'6"" | Free Agent",70,74,75
91,"Kessler Edwards 0 Badges Kessler Edwards SF / PF | 6'7"" | SAC",70,76,65
92,"Jalen Wilson 0 Badges Jalen Wilson SF / PF | 6'8"" | BKN",70,72,75
93,"Nate Williams 0 Badges Nate Williams SF / SG | 6'5"" | HOU",70,75,70
94,"Vit Krejci 0 Badges Vit Krejci SF / PG | 6'8"" | ATL",70,75,70
95,"Anthony Lamb 0 Badges Anthony Lamb SF / PF | 6'6"" | Free Agent",70,80,65
96,"Garrett Temple 0 Badges Garrett Temple SF / SG | 6'6"" | TOR",70,74,30
97,"DaQuan Jeffries 0 Badges DaQuan Jeffries SF / SG | 6'5"" | Free Agent",70,73,75
98,"Julian Phillips 0 Badges Julian Phillips SF / PF | 6'8"" | CHI",70,69,80
99,"Deonte Burton 0 Badges Deonte Burton SF / SG | 6'4"" | Free Agent",70,76,75
100,"Tyrese Martin 0 Badges Tyrese Martin SF / SG | 6'6"" | Free Agent",69,75,60
