#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Joel Embiid,PHI,34,34,35.3,11.8,22.2,0.533,1.2,3.3,0.366,10.5,11.9,0.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9
2,Nikola Jokic,DEN,50,33.9,26.3,10.3,17.6,0.584,1.1,2.9,0.361,4.7,5.8,0.819,3,9.2,12.2,9,1.2,1,3,2.5
3,Anthony Davis,LAL,49,36,24.8,9.5,17.2,0.553,0.3,1.2,0.283,5.4,6.7,0.806,3.1,9.1,12.2,3.9,1.2,2.4,2.1,2.4
4,Alperen Sengun,HOU,51,32.4,21.3,8.5,15.7,0.541,0.5,1.9,0.289,3.8,5.3,0.717,2.8,6.5,9.3,5,1.1,0.7,2.6,3.3
5,Victor Wembanyama,SAS,46,28.4,20.3,7.5,16.1,0.464,1.5,4.9,0.311,3.8,4.7,0.807,2.2,7.9,10.1,3.1,1.2,3.1,3.4,2.2
6,Kristaps Porzingis,BOS,38,29.8,20.2,6.8,12.9,0.528,1.8,5.1,0.358,4.8,5.7,0.848,1.6,5.3,6.9,1.9,0.6,1.9,1.7,2.8
7,Bam Adebayo,MIA,42,34.5,20.2,7.6,15,0.509,0,0.3,0.091,5,6.4,0.773,2.2,8.3,10.5,4,1,1,2.4,2.5
8,Domantas Sabonis,SAC,50,35.6,19.9,8,12.9,0.62,0.5,1.1,0.429,3.4,5,0.69,3.2,9.9,13.1,8.1,0.8,0.5,3.3,3.1
9,Nikola Vucevic,CHI,47,34.2,17.3,7.4,15.6,0.475,1.1,4.1,0.28,1.4,1.6,0.877,2.6,7.9,10.5,3.5,0.7,0.9,1.5,2.5
10,Myles Turner,IND,50,27.3,17,6.2,12,0.515,1.4,4.1,0.333,3.3,4.2,0.778,1.6,5.3,6.9,1.3,0.5,1.8,1.4,3.2
11,Chet Holmgren,OKC,51,30.2,16.9,6.4,12,0.535,1.7,4.3,0.394,2.4,3.1,0.763,1.5,6,7.5,2.8,0.7,2.6,1.7,2.5
12,Jarrett Allen,CLE,45,30.5,15.4,6.3,9.8,0.641,0,0.1,0,2.8,3.7,0.756,3.5,7,10.5,2.8,0.8,1.2,1.8,2.3
13,John Collins,UTA,49,27.8,14.4,5.7,10.9,0.522,1.2,3.5,0.343,1.8,2.3,0.781,2.2,5.9,8.1,1,0.6,0.8,1.3,2.8
14,Jonas Valanciunas,NOP,51,25.9,14,5.5,9.7,0.568,0.6,1.7,0.345,2.4,3,0.796,2.7,6.9,9.5,2.4,0.5,1,1.4,3
15,Rudy Gobert,MIN,51,33.4,13.7,5.2,7.9,0.649,0,0,0,3.4,5.3,0.639,3.5,9,12.5,1.2,0.6,2,1.5,3
