#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Giannis Antetokounmpo,MIL,51,35,30.7,11.5,18.9,0.609,0.5,1.8,0.25,7.3,11.1,0.657,2.6,8.7,11.3,6.3,1.4,1.1,3.5,3.1
2,Kevin Durant,PHX,45,37.1,28.4,10.3,19,0.539,2.3,5.1,0.452,5.5,6.4,0.871,0.5,6,6.5,5.7,0.9,1.3,3.1,1.8
3,Jayson Tatum,BOS,49,35.8,27,9.2,19.4,0.473,3.1,8.4,0.362,5.6,6.9,0.819,0.9,7.6,8.4,4.6,1,0.6,2.6,2
4,LeBron James,LAL,48,35,24.8,9.3,18,0.519,2.1,5.4,0.393,4.1,5.5,0.737,0.9,6.4,7.3,7.8,1.3,0.6,3.2,1.2
5,Kawhi Leonard,LAC,46,34.4,24.2,9.1,17.1,0.531,2.3,5.2,0.456,3.7,4.2,0.887,1.2,5.1,6.3,3.7,1.7,0.9,1.6,1.5
6,Julius Randle,NYK,46,35.4,24,8.6,18.2,0.472,1.7,5.3,0.311,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7
7,Lauri Markkanen,UTA,43,32.7,23.7,8,16,0.501,3.3,8,0.406,4.4,5,0.884,2.3,6.2,8.5,1.9,0.9,0.5,1.3,2
8,Paolo Banchero,ORL,52,34.8,22.8,8.1,17.9,0.454,1.5,4.1,0.36,5.1,7.3,0.696,1.2,5.7,6.9,5.1,1.1,0.5,3,2
9,Karl-Anthony Towns,MIN,51,33.2,22.6,8.1,15.7,0.516,2.3,5.2,0.442,4.1,4.7,0.871,1.4,7.1,8.5,3,0.7,0.6,2.9,3.3
10,Zion Williamson,NOP,42,30.4,22.3,8.8,14.9,0.587,0.1,0.3,0.364,4.7,6.9,0.681,1.7,3.8,5.5,4.8,1,0.5,2.5,2.4
11,"Jaren Jackson, Jr.",MEM,48,31.8,22.2,7.6,17.1,0.446,1.8,5.5,0.316,5.2,6.3,0.825,1.2,4.3,5.5,2.1,1,1.6,2.3,3.6
12,Pascal Siakam,IND,51,34.3,22.1,8.5,15.9,0.533,1.2,3.5,0.341,3.9,5.3,0.74,1.6,4.9,6.5,4.9,0.8,0.3,2.1,2.4
13,Jerami Grant,POR,44,33.8,21.9,7.4,16.1,0.462,2.1,5.2,0.405,4.9,6,0.816,0.7,3.1,3.8,2.7,0.7,0.7,2,2.3
14,Kyle Kuzma,WAS,50,31.6,21.8,8.5,18.8,0.454,2.3,6.9,0.332,2.5,3.1,0.805,1,5.4,6.4,4.2,0.4,0.6,2.6,2.1
15,Miles Bridges,CHA,40,37,21.6,8.2,17.9,0.457,2.5,6.7,0.368,2.8,3.2,0.86,0.9,6.3,7.2,3.3,1,0.6,2,1.9
16,Jalen Williams,OKC,45,32,18.8,7.4,13.6,0.539,1.5,3.2,0.452,2.6,3.3,0.804,0.5,3.5,4,4.5,1.1,0.5,1.7,2.6
17,Jalen Johnson,ATL,38,33.7,15.5,6.2,11.9,0.52,1.2,3.4,0.364,1.9,2.6,0.737,1.2,7.4,8.6,3.4,1.3,0.8,1.8,2.6
18,Jonathan Kuminga,GSW,48,25.2,15.5,5.9,11,0.536,0.8,2.5,0.317,3,4.1,0.724,1.2,3.4,4.6,1.8,0.7,0.4,1.6,2.2
19,Keegan Murray,SAC,47,32.4,15.2,5.8,12.4,0.463,2.3,6.4,0.361,1.4,1.7,0.802,1.2,4,5.2,1.7,1.1,0.6,0.8,2.7
20,Cameron Johnson,BRK,40,28.5,13.9,5.2,11.3,0.458,2.5,6.2,0.401,1.2,1.6,0.742,1.1,3.6,4.7,2.6,0.8,0.3,1,1.9
21,P.J. Washington,CHA,44,29.2,13.6,5.2,11.6,0.446,1.8,5.5,0.324,1.5,2.1,0.713,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.5
22,Aaron Gordon,DEN,47,31.8,13.6,5.4,9.8,0.545,0.6,1.8,0.302,2.3,3.7,0.624,2.5,4,6.5,3.1,0.8,0.7,1.3,1.9
23,"Jabari Smith, Jr.",HOU,46,31.3,13.3,4.9,10.5,0.471,1.7,4.4,0.377,1.7,2.1,0.814,2,6.3,8.3,1.4,0.6,0.7,1.2,2.8
24,Obi Toppin,IND,53,22.6,10.7,4.2,7.5,0.567,1.2,3.1,0.394,1,1.3,0.761,1.1,2.8,3.9,1.6,0.5,0.5,0.8,1.9
25,Patrick Williams,CHI,43,27.3,10,3.7,8.3,0.443,1.4,3.4,0.399,1.2,1.5,0.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2
26,Georges Niang,CLE,50,21.8,9,3.3,7.7,0.43,1.7,4.8,0.353,0.7,0.8,0.868,0.3,3.4,3.7,1.3,0.2,0.2,0.7,2.3
27,Jabari Walker,POR,47,22.1,8.5,3.1,6.6,0.468,0.6,2,0.281,1.8,2.4,0.75,2,4.5,6.5,0.9,0.6,0.4,1,2.3
28,David Roddy,MEM,48,23.2,8.4,3.2,8,0.402,1,3.3,0.301,1,1.4,0.687,1.1,3.1,4.2,1.6,0.5,0.2,1.1,1.4
29,Grant Williams,DAL,47,26.4,8.1,2.8,6.7,0.413,1.7,4.5,0.376,0.9,1.2,0.745,1,2.6,3.6,1.7,0.5,0.6,1.1,2.9
30,Kelly Olynyk,UTA,50,20.4,8.1,2.9,5.2,0.562,0.7,1.7,0.429,1.6,1.9,0.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6
31,Trey Lyles,SAC,37,20.1,7.9,2.6,5.6,0.469,1.7,4.1,0.418,0.8,1.2,0.689,0.9,3.6,4.5,1.3,0.3,0.3,0.6,1.5
32,Royce O'Neale,BRK,49,24.5,7.4,2.6,6.6,0.388,2,5.4,0.366,0.3,0.4,0.682,0.8,3.7,4.5,2.8,0.7,0.6,1,2.4
33,Precious Achiuwa,NYK,45,19.9,7.3,3.1,6.5,0.479,0.4,1.5,0.254,0.7,1.2,0.611,2.3,3.6,5.9,1.3,0.6,0.7,1,1.8
34,Peyton Watson,DEN,51,18.3,7,2.7,5.6,0.479,0.7,2.1,0.336,0.9,1.4,0.696,0.6,2.2,2.9,1,0.6,0.9,0.7,1.8
35,Christian Wood,LAL,48,17.5,7,2.5,5.3,0.468,0.7,2.3,0.315,1.3,1.9,0.696,0.8,4.3,5.1,1,0.3,0.7,1,1.4
36,Marcus Morris,PHI,37,17.2,6.7,2.4,5.5,0.439,1,2.4,0.4,0.8,1,0.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6
37,Aaron Wiggins,OKC,48,14.1,6.2,2.4,4.1,0.588,0.8,1.5,0.521,0.5,0.7,0.735,0.7,1.7,2.4,1,0.5,0.1,0.5,1.2
38,Kyle Anderson,MIN,52,21.9,6.2,2.4,5.1,0.472,0.1,0.6,0.194,1.2,1.8,0.681,0.8,2.7,3.5,4,0.8,0.6,1.3,1.5
39,Doug McDermott,SAS,46,15.2,6,2.1,4.7,0.442,1.7,3.8,0.439,0.2,0.4,0.588,0.2,0.9,1,1.2,0.2,0,0.5,1
40,Haywood Highsmith,MIA,37,20.7,5.8,2.1,4.9,0.431,1.1,2.9,0.374,0.5,0.6,0.792,0.8,2,2.8,1.1,0.9,0.5,0.6,2
41,Dean Wade,CLE,43,21.3,5.7,1.9,4.5,0.422,1.6,3.9,0.407,0.3,0.4,0.789,0.8,3.5,4.3,0.8,0.8,0.4,0.4,1.9
42,J.T. Thor,CHA,42,13.7,3,1.2,3.3,0.367,0.5,1.4,0.317,0.2,0.3,0.538,0.9,1.7,2.6,0.4,0.2,0.4,0.3,1
