#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Luka Doncic,DAL,44,37.7,34.6,11.7,23.9,0.489,4,10.5,0.378,7.3,9.3,0.776,0.8,8,8.8,9.5,1.5,0.6,3.9,1.9
2,Stephen Curry,GSW,46,33.4,28,9.1,19.6,0.464,4.9,11.7,0.417,4.9,5.3,0.93,0.5,3.8,4.3,4.8,0.8,0.4,3,1.8
3,Devin Booker,PHX,42,36.1,27.9,9.8,19.5,0.502,2.3,5.9,0.386,6,6.9,0.869,0.7,4.1,4.7,7.1,0.9,0.4,2.6,3
4,Trae Young,ATL,47,36.7,27.3,8.5,19.7,0.433,3.4,9,0.381,6.8,8,0.858,0.4,2.3,2.7,10.9,1.4,0.2,4.4,2
5,Jalen Brunson,NYK,49,35.8,27.2,9.7,20.2,0.482,2.7,6.5,0.411,5.1,6.2,0.834,0.6,3.3,3.9,6.5,0.9,0.2,2.3,2
6,De'Aaron Fox,SAC,45,35.4,26.6,9.5,20.4,0.467,2.9,7.7,0.379,4.6,6.5,0.711,0.8,3.2,4,5.4,1.9,0.4,2.5,2.6
7,Tyrese Maxey,PHI,46,37.1,25.6,8.8,19.7,0.448,3.1,8.2,0.379,4.9,5.7,0.859,0.5,2.9,3.5,6.3,1,0.5,1.6,2.2
8,Damian Lillard,MIL,48,35.3,25,7.4,17.4,0.427,2.9,8.5,0.345,7.1,7.8,0.922,0.5,3.6,4.2,6.8,1.1,0.2,2.5,1.7
9,Cade Cunningham,DET,41,34.4,22.4,8.4,18.7,0.448,1.8,5.3,0.339,3.9,4.5,0.859,0.4,3.6,4,7.4,1,0.3,3.7,2.8
10,Tyrese Haliburton,IND,40,31.9,22.1,7.9,16,0.496,3.1,7.9,0.395,3.1,3.7,0.856,0.6,3.3,3.9,11.7,1.1,0.7,2.4,1
11,Jamal Murray,DEN,39,31.8,20.9,7.9,16.7,0.47,2.5,6,0.412,2.7,3.2,0.849,0.7,3.3,4,6.6,0.8,0.7,2,1.9
12,Terry Rozier,MIA,39,34.4,20.7,7.5,16.9,0.442,2.4,7.1,0.342,3.4,3.9,0.862,0.6,3.4,4.1,6.4,1,0.4,1.9,1.8
13,Coby White,CHI,52,36.1,19.4,6.9,14.9,0.465,2.9,7.1,0.402,2.7,3.3,0.824,0.5,4.2,4.7,5.2,0.7,0.3,2.2,2.3
14,C.J. McCollum,NOP,38,32,19.3,7,14.8,0.472,3.5,8,0.434,1.9,2.4,0.789,0.6,3.7,4.3,4.6,1.1,0.8,1.7,2.2
