#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,DeMar DeRozan,CHI,50,37.5,22.4,7.7,16.5,0.468,1,2.8,0.343,6.1,7.1,0.854,0.6,3.5,4.1,5.3,1.2,0.7,1.6,2.2
2,Paul George,LAC,47,33.8,22.3,7.8,17.1,0.456,3.3,8.2,0.403,3.4,3.7,0.908,0.6,4.7,5.3,3.6,1.6,0.4,2.1,2.9
3,Jaylen Brown,BOS,48,33.2,22.1,8.6,17.3,0.495,1.9,5.6,0.344,3,4.1,0.729,1.1,4.4,5.5,3.8,1.1,0.6,2.4,2.6
4,Mikal Bridges,BRK,51,35.3,21.9,7.7,17,0.454,2.5,6.9,0.369,3.9,4.8,0.824,0.9,4,4.9,3.7,0.9,0.4,2.3,1.6
5,Brandon Ingram,NOP,47,33.2,21.7,8.1,16.4,0.495,1.4,4,0.366,4,5,0.803,0.7,4.4,5.1,5.7,0.8,0.5,2.4,2.2
6,Jimmy Butler,MIA,37,33.9,21.4,6.7,13.4,0.5,1,2.3,0.44,7,8.1,0.869,2,3.4,5.5,4.6,1.3,0.3,1.7,1.1
7,Franz Wagner,ORL,44,33.1,20.9,7.8,16.3,0.477,1.6,5,0.317,3.8,4.4,0.859,1.1,4.6,5.7,4,1.1,0.4,2,2.3
8,R.J. Barrett,TOR,42,31.3,19.4,7,14.8,0.474,1.6,4.6,0.351,3.7,4.9,0.765,0.8,4.4,5.3,3,0.5,0.4,1.8,2.2
9,Tim Hardaway Jr.,DAL,49,30.1,17.9,6.1,14.5,0.419,3.2,8.8,0.368,2.5,2.8,0.877,0.3,3.3,3.7,1.7,0.5,0,0.9,1.5
10,Tobias Harris,PHI,47,34,17.9,6.8,13.3,0.512,1.2,3.4,0.35,3.1,3.4,0.9,1.1,4.9,6,3.4,0.9,0.5,1.4,1.7
11,Brandon Miller,CHA,45,31.4,16.5,6.2,14.1,0.439,2.3,6,0.379,1.8,2.2,0.822,0.9,3.1,4,2.3,0.8,0.5,1.6,2.6
12,Keldon Johnson,SAS,48,30.2,16.4,6,13.2,0.452,1.7,5.2,0.335,2.7,3.5,0.777,1.5,4.4,5.9,3.1,0.9,0.3,1.6,2.4
13,"Michael Porter, Jr.",DEN,52,31.5,16,6.2,13,0.473,2.7,6.8,0.396,1,1.2,0.781,1.3,5.7,7,1.4,0.4,0.8,1.1,1.9
14,OG Anunoby,NYK,41,34.2,15.3,5.8,11.7,0.498,2.1,5.5,0.379,1.6,2,0.774,1,3.2,4.2,2.3,1.3,0.7,1.5,2.3
15,Khris Middleton,MIL,43,26.3,14.8,5.6,11.6,0.487,1.7,4.5,0.378,1.8,2.2,0.832,0.6,3.7,4.3,5,0.9,0.3,2.1,2.4
16,Caris LeVert,CLE,40,27.7,14.8,5.4,12.7,0.423,1.8,5.2,0.34,2.3,3.1,0.748,0.5,3.1,3.5,4.3,1,0.4,1.5,1.7
17,Bennedict Mathurin,IND,50,25.7,14.6,5.1,11.2,0.454,1.3,3.5,0.37,3.1,3.7,0.834,1,2.8,3.8,1.9,0.6,0.2,1.6,1.9
