#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Shai Gilgeous-Alexander,OKC,50,34.6,31.1,10.9,19.9,0.547,1.2,3.4,0.359,8.1,9.1,0.89,0.9,4.7,5.6,6.6,2.2,0.9,2.2,2.6
2,Donovan Mitchell,CLE,41,35.4,28.5,10,21.1,0.476,3.3,9.2,0.359,5.1,5.9,0.863,1,4.5,5.5,6.3,1.9,0.5,2.8,2.1
3,Anthony Edwards,MIN,49,35.1,25.9,8.9,19.2,0.465,2.6,6.6,0.393,5.4,6.5,0.834,0.6,4.6,5.2,5.2,1.2,0.5,3.4,2
4,Desmond Bane,MEM,37,34.5,24.4,8.9,18.8,0.474,3.3,8.6,0.384,3.3,3.8,0.864,0.9,3.6,4.6,5.3,1,0.5,2.7,2.9
5,Dejounte Murray,ATL,49,35,21.4,8.2,17.7,0.466,2.3,6.2,0.37,2.7,3.2,0.834,0.7,4.4,5.1,5.2,1.3,0.3,2.2,1.8
6,Cam Thomas,BRK,42,29.5,21.3,7.7,17.4,0.44,1.9,5.4,0.355,4.1,4.9,0.834,0.3,2.6,2.9,2.5,0.7,0.3,1.8,2
7,Scottie Barnes,TOR,52,35.3,20.1,7.4,15.7,0.474,1.8,5.2,0.358,3.3,4.3,0.776,2.3,5.7,8,5.8,1.2,1.5,2.6,2
8,Devin Vassell,SAS,47,31.7,18.9,7,14.8,0.471,2.5,6.8,0.364,2.6,3.2,0.805,0.4,3.3,3.6,3.6,1,0.3,1.4,1
9,Jalen Green,HOU,51,30.6,18.2,6.3,15.1,0.414,2.1,6.5,0.318,3.6,4.4,0.805,0.4,4.3,4.7,3.2,0.7,0.3,2.2,1.3
10,Collin Sexton,UTA,53,24.4,17.5,5.9,12.3,0.482,1.5,4,0.387,4.1,4.7,0.871,0.9,1.7,2.5,4.5,0.7,0.2,1.9,2
11,Jordan Clarkson,UTA,43,30,17.3,6.2,14.9,0.415,1.6,5.6,0.29,3.3,3.7,0.875,0.9,2.4,3.4,4.8,0.6,0.1,2.7,1.3
12,Klay Thompson,GSW,46,30.8,17.1,6,14.5,0.417,3.3,8.7,0.377,1.8,2,0.912,0.5,2.9,3.5,2.3,0.6,0.5,1.6,1.9
13,Bogdan Bogdanovic,ATL,50,28.9,17,6,14.1,0.429,3.1,8.4,0.37,1.8,1.9,0.907,0.6,2.6,3.2,2.7,1.3,0.3,1.1,2.4
